method	track	genre	ref	est	acc1	acc2	sec
librosa_multiwin	4331667.LOFI	drum-and-bass	174.0	86.13	0	1	0.29
librosa_multiwin	5261461.LOFI	house	174.0	117.45	0	0	0.26
librosa_multiwin	2013128.LOFI	house	127.0	63.02	0	1	0.26
librosa_multiwin	5135326.LOFI	house	130.0	64.6	0	1	0.25
librosa_multiwin	1791554.LOFI	techno	125.0	63.02	0	1	0.27
librosa_multiwin	2677224.LOFI	techno	127.0	83.35	0	0	0.25
librosa_multiwin	2726353.LOFI	techno	117.0	117.45	1	1	0.25
librosa_multiwin_folded	3863498.LOFI	hip-hop	150.0	99.38	0	0	0.27
librosa_multiwin_folded	4633603.LOFI	hip-hop	139.0	92.29	0	0	0.27
librosa_multiwin_folded	3958395.LOFI	funk-r-and-b	136.0	68.0	0	1	0.31
librosa_multiwin_folded	3733281.LOFI	reggae-dub	70.0	143.55	0	1	0.27
librosa_multiwin_folded	1874244.LOFI	reggae-dub	71.0	92.29	0	0	0.32
librosa_multiwin_folded	3892740.LOFI	pop-rock	129.0	129.2	1	1	0.25
librosa_multiwin_folded	1743969.LOFI	pop-rock	79.0	78.3	1	1	0.26
librosa_multiwin_folded	3151015.LOFI	pop-rock	174.0	86.13	0	1	0.26
librosa_multiwin_folded	4093555.LOFI	glitch-hop	92.0	123.05	0	0	0.26
librosa_multiwin_folded	3983645.LOFI	glitch-hop	110.0	89.1	0	0	0.26
librosa_multiwin_folded	5070846.LOFI	glitch-hop	110.0	112.35	1	1	0.26
librosa_multiwin_folded	4714481.LOFI	glitch-hop	112.0	112.35	1	1	0.27
librosa_multiwin_folded	4468729.LOFI	glitch-hop	160.0	107.67	0	0	0.27
librosa_multiwin_folded	4703149.LOFI	glitch-hop	110.0	112.35	1	1	0.23
librosa_multiwin_folded	1839656.LOFI	dubstep	140.0	69.84	0	1	0.26
librosa_multiwin_folded	4936740.LOFI	dubstep	142.0	92.29	0	0	0.3
librosa_multiwin_folded	3577628.LOFI	dubstep	139.0	92.29	0	0	0.27
librosa_multiwin_folded	4163587.LOFI	dubstep	127.0	63.02	0	1	0.26
librosa_multiwin_folded	3875632.LOFI	dubstep	139.0	92.29	0	0	0.26
librosa_multiwin_folded	4020698.LOFI	dubstep	141.0	69.84	0	1	0.28
librosa_multiwin_folded	210560.LOFI	chill-out	78.0	78.3	1	1	0.27
librosa_multiwin_folded	4091609.LOFI	chill-out	80.0	161.5	0	1	0.25
librosa_multiwin_folded	1885798.LOFI	chill-out	101.0	136.0	0	0	0.26
librosa_multiwin_folded	3658743.LOFI	chill-out	144.0	71.78	0	1	0.27
librosa_multiwin_folded	172384.LOFI	chill-out	84.0	83.35	1	1	0.26
librosa_multiwin_folded	426992.LOFI	breaks	167.0	83.35	0	1	0.26
librosa_multiwin_folded	4694833.LOFI	breaks	144.0	95.7	0	0	0.28
librosa_multiwin_folded	4800274.LOFI	breaks	141.0	92.29	0	0	0.26
librosa_multiwin_folded	4773948.LOFI	breaks	139.0	69.84	0	1	0.26
librosa_multiwin_folded	3467867.LOFI	drum-and-bass	170.0	86.13	0	1	0.26
librosa_multiwin_folded	672063.LOFI	drum-and-bass	174.0	117.45	0	0	0.27
librosa_multiwin_folded	3907042.LOFI	drum-and-bass	170.0	86.13	0	1	0.26
librosa_multiwin_folded	2725286.LOFI	drum-and-bass	174.0	86.13	0	1	0.26
librosa_multiwin_folded	4331667.LOFI	drum-and-bass	174.0	86.13	0	1	0.26
librosa_multiwin_folded	5261461.LOFI	house	174.0	117.45	0	0	0.28
librosa_multiwin_folded	2013128.LOFI	house	127.0	63.02	0	1	0.26
librosa_multiwin_folded	5135326.LOFI	house	130.0	64.6	0	1	0.25
librosa_multiwin_folded	1791554.LOFI	techno	125.0	63.02	0	1	0.26
librosa_multiwin_folded	2677224.LOFI	techno	127.0	83.35	0	0	0.27
librosa_multiwin_folded	2726353.LOFI	techno	117.0	117.45	1	1	0.26
essentia_re2013	3863498.LOFI	hip-hop	150.0	73.74	0	1	2.13
essentia_re2013	4633603.LOFI	hip-hop	139.0	140.0	1	1	1.34
essentia_re2013	3958395.LOFI	funk-r-and-b	136.0	67.44	0	1	1.34
essentia_re2013	3733281.LOFI	reggae-dub	70.0	140.04	0	1	1.32
essentia_re2013	1874244.LOFI	reggae-dub	71.0	93.03	0	0	1.36
essentia_re2013	3892740.LOFI	pop-rock	129.0	128.18	1	1	1.34
essentia_re2013	1743969.LOFI	pop-rock	79.0	155.84	0	1	1.33
essentia_re2013	3151015.LOFI	pop-rock	174.0	86.97	0	1	1.35
essentia_re2013	4093555.LOFI	glitch-hop	92.0	91.91	1	1	1.36
essentia_re2013	3983645.LOFI	glitch-hop	110.0	110.03	1	1	1.34
essentia_re2013	5070846.LOFI	glitch-hop	110.0	109.96	1	1	1.36
essentia_re2013	4714481.LOFI	glitch-hop	112.0	147.7	0	0	1.38
essentia_re2013	4468729.LOFI	glitch-hop	160.0	106.48	0	0	1.32
essentia_re2013	4703149.LOFI	glitch-hop	110.0	110.09	1	1	1.2
essentia_re2013	1839656.LOFI	dubstep	140.0	139.95	1	1	1.33
essentia_re2013	4936740.LOFI	dubstep	142.0	139.99	1	1	1.32
essentia_re2013	3577628.LOFI	dubstep	139.0	140.01	1	1	1.31
essentia_re2013	4163587.LOFI	dubstep	127.0	126.03	1	1	1.34
essentia_re2013	3875632.LOFI	dubstep	139.0	139.93	1	1	1.32
essentia_re2013	4020698.LOFI	dubstep	141.0	140.02	1	1	1.32
essentia_re2013	210560.LOFI	chill-out	78.0	161.55	0	1	1.36
essentia_re2013	4091609.LOFI	chill-out	80.0	161.5	0	1	1.34
essentia_re2013	1885798.LOFI	chill-out	101.0	132.59	0	0	1.33
essentia_re2013	3658743.LOFI	chill-out	144.0	144.04	1	1	1.4
essentia_re2013	172384.LOFI	chill-out	84.0	166.6	0	1	1.34
essentia_re2013	426992.LOFI	breaks	167.0	166.23	1	1	1.35
essentia_re2013	4694833.LOFI	breaks	144.0	142.95	1	1	1.35
essentia_re2013	4800274.LOFI	breaks	141.0	92.81	0	0	1.37
essentia_re2013	4773948.LOFI	breaks	139.0	139.87	1	1	1.33
essentia_re2013	3467867.LOFI	drum-and-bass	170.0	85.88	0	1	1.42
essentia_re2013	672063.LOFI	drum-and-bass	174.0	87.54	0	1	1.44
essentia_re2013	3907042.LOFI	drum-and-bass	170.0	85.01	0	1	1.41
essentia_re2013	2725286.LOFI	drum-and-bass	174.0	87.45	0	1	1.39
essentia_re2013	4331667.LOFI	drum-and-bass	174.0	87.17	0	1	1.48
essentia_re2013	5261461.LOFI	house	174.0	116.67	0	0	1.44
essentia_re2013	2013128.LOFI	house	127.0	125.81	1	1	1.63
essentia_re2013	5135326.LOFI	house	130.0	64.98	0	1	1.49
essentia_re2013	1791554.LOFI	techno	125.0	63.05	0	1	1.34
essentia_re2013	2677224.LOFI	techno	127.0	84.01	0	0	1.33
essentia_re2013	2726353.LOFI	techno	117.0	117.51	1	1	1.33
essentia_degara	3863498.LOFI	hip-hop	150.0	98.26	0	0	0.42
essentia_degara	4633603.LOFI	hip-hop	139.0	140.0	1	1	0.39
essentia_degara	3958395.LOFI	funk-r-and-b	136.0	134.96	1	1	0.39
essentia_degara	3733281.LOFI	reggae-dub	70.0	140.04	0	1	0.42
essentia_degara	1874244.LOFI	reggae-dub	71.0	93.03	0	0	0.41
essentia_degara	3892740.LOFI	pop-rock	129.0	128.06	1	1	0.42
essentia_degara	1743969.LOFI	pop-rock	79.0	156.07	0	1	0.4
essentia_degara	3151015.LOFI	pop-rock	174.0	172.27	1	1	0.4
essentia_degara	4093555.LOFI	glitch-hop	92.0	122.58	0	0	0.4
essentia_degara	3983645.LOFI	glitch-hop	110.0	110.03	1	1	0.46
essentia_degara	5070846.LOFI	glitch-hop	110.0	110.0	1	1	0.42
essentia_degara	4714481.LOFI	glitch-hop	112.0	140.29	0	0	0.39
essentia_degara	4468729.LOFI	glitch-hop	160.0	106.48	0	0	0.41
essentia_degara	4703149.LOFI	glitch-hop	110.0	109.94	1	1	0.31
essentia_degara	1839656.LOFI	dubstep	140.0	139.95	1	1	0.42
essentia_degara	4936740.LOFI	dubstep	142.0	139.78	1	1	0.4
essentia_degara	3577628.LOFI	dubstep	139.0	140.01	1	1	0.4
essentia_degara	4163587.LOFI	dubstep	127.0	126.03	1	1	0.41
essentia_degara	3875632.LOFI	dubstep	139.0	140.06	1	1	0.39
essentia_degara	4020698.LOFI	dubstep	141.0	139.94	1	1	0.4
essentia_degara	210560.LOFI	chill-out	78.0	156.28	0	1	0.4
essentia_degara	4091609.LOFI	chill-out	80.0	161.5	0	1	0.39
essentia_degara	1885798.LOFI	chill-out	101.0	129.39	0	0	0.41
essentia_degara	3658743.LOFI	chill-out	144.0	144.04	1	1	0.43
essentia_degara	172384.LOFI	chill-out	84.0	166.43	0	1	0.39
essentia_degara	426992.LOFI	breaks	167.0	166.16	1	1	0.38
essentia_degara	4694833.LOFI	breaks	144.0	142.95	1	1	0.38
essentia_degara	4800274.LOFI	breaks	141.0	92.81	0	0	0.4
essentia_degara	4773948.LOFI	breaks	139.0	139.87	1	1	0.4
essentia_degara	3467867.LOFI	drum-and-bass	170.0	85.7	0	1	0.4
essentia_degara	672063.LOFI	drum-and-bass	174.0	87.54	0	1	0.41
essentia_degara	3907042.LOFI	drum-and-bass	170.0	84.99	0	1	0.39
essentia_degara	2725286.LOFI	drum-and-bass	174.0	87.45	0	1	0.4
essentia_degara	4331667.LOFI	drum-and-bass	174.0	172.27	1	1	0.42
essentia_degara	5261461.LOFI	house	174.0	172.27	1	1	0.43
essentia_degara	2013128.LOFI	house	127.0	125.81	1	1	0.41
essentia_degara	5135326.LOFI	house	130.0	64.98	0	1	0.41
essentia_degara	1791554.LOFI	techno	125.0	63.05	0	1	0.4
essentia_degara	2677224.LOFI	techno	127.0	83.91	0	0	0.4
essentia_degara	2726353.LOFI	techno	117.0	117.59	1	1	0.39
essentia_percival	3863498.LOFI	hip-hop	150.0	74.09	0	1	0.48
essentia_percival	4633603.LOFI	hip-hop	139.0	69.84	0	1	0.47
essentia_percival	3958395.LOFI	funk-r-and-b	136.0	135.11	1	1	0.48
essentia_percival	3733281.LOFI	reggae-dub	70.0	139.67	0	1	0.49
essentia_percival	1874244.LOFI	reggae-dub	71.0	93.54	0	0	0.5
essentia_percival	3892740.LOFI	pop-rock	129.0	128.4	1	1	0.5
essentia_percival	1743969.LOFI	pop-rock	79.0	78.3	1	1	0.54
essentia_percival	3151015.LOFI	pop-rock	174.0	86.86	0	1	0.52
essentia_percival	4093555.LOFI	glitch-hop	92.0	91.88	1	1	0.5
essentia_percival	3983645.LOFI	glitch-hop	110.0	109.96	1	1	0.53
essentia_percival	5070846.LOFI	glitch-hop	110.0	109.96	1	1	0.49
essentia_percival	4714481.LOFI	glitch-hop	112.0	149.8	0	0	0.48
essentia_percival	4468729.LOFI	glitch-hop	160.0	80.12	0	1	0.49
essentia_percival	4703149.LOFI	glitch-hop	110.0	109.96	1	1	0.44
essentia_percival	1839656.LOFI	dubstep	140.0	139.67	1	1	0.5
essentia_percival	4936740.LOFI	dubstep	142.0	139.67	1	1	0.49
essentia_percival	3577628.LOFI	dubstep	139.0	69.84	0	1	0.57
essentia_percival	4163587.LOFI	dubstep	127.0	126.05	1	1	0.65
essentia_percival	3875632.LOFI	dubstep	139.0	70.07	0	1	0.57
essentia_percival	4020698.LOFI	dubstep	141.0	139.67	1	1	0.56
essentia_percival	210560.LOFI	chill-out	78.0	78.9	1	1	0.51
essentia_percival	4091609.LOFI	chill-out	80.0	80.12	1	1	0.55
essentia_percival	1885798.LOFI	chill-out	101.0	135.11	0	0	0.55
essentia_percival	3658743.LOFI	chill-out	144.0	72.03	0	1	0.58
essentia_percival	172384.LOFI	chill-out	84.0	84.03	1	1	0.5
essentia_percival	426992.LOFI	breaks	167.0	83.35	0	1	0.54
essentia_percival	4694833.LOFI	breaks	144.0	95.7	0	0	0.56
essentia_percival	4800274.LOFI	breaks	141.0	93.12	0	0	0.54
essentia_percival	4773948.LOFI	breaks	139.0	139.67	1	1	0.6
essentia_percival	3467867.LOFI	drum-and-bass	170.0	86.13	0	1	0.54
essentia_percival	672063.LOFI	drum-and-bass	174.0	87.59	0	1	0.63
essentia_percival	3907042.LOFI	drum-and-bass	170.0	84.72	0	1	0.55
essentia_percival	2725286.LOFI	drum-and-bass	174.0	87.59	0	1	0.54
essentia_percival	4331667.LOFI	drum-and-bass	174.0	86.86	0	1	0.51
essentia_percival	5261461.LOFI	house	174.0	87.59	0	1	0.52
essentia_percival	2013128.LOFI	house	127.0	126.05	1	1	0.6
essentia_percival	5135326.LOFI	house	130.0	130.01	1	1	0.5
essentia_percival	1791554.LOFI	techno	125.0	126.05	1	1	0.57
essentia_percival	2677224.LOFI	techno	127.0	126.05	1	1	0.54
essentia_percival	2726353.LOFI	techno	117.0	117.45	1	1	0.56
tempocnn_deepsquare	3863498.LOFI	hip-hop	150.0	74.0	0	1	1.16
tempocnn_deepsquare	4633603.LOFI	hip-hop	139.0	140.0	1	1	1.01
tempocnn_deepsquare	3958395.LOFI	funk-r-and-b	136.0	135.0	1	1	0.96
tempocnn_deepsquare	3733281.LOFI	reggae-dub	70.0	140.0	0	1	0.97
tempocnn_deepsquare	1874244.LOFI	reggae-dub	71.0	70.0	1	1	1.0
tempocnn_deepsquare	3892740.LOFI	pop-rock	129.0	128.0	1	1	1.04
tempocnn_deepsquare	1743969.LOFI	pop-rock	79.0	78.0	1	1	0.95
tempocnn_deepsquare	3151015.LOFI	pop-rock	174.0	87.0	0	1	0.98
tempocnn_deepsquare	4093555.LOFI	glitch-hop	92.0	92.0	1	1	0.97
tempocnn_deepsquare	3983645.LOFI	glitch-hop	110.0	110.0	1	1	0.93
tempocnn_deepsquare	5070846.LOFI	glitch-hop	110.0	110.0	1	1	0.86
tempocnn_deepsquare	4714481.LOFI	glitch-hop	112.0	112.0	1	1	0.95
tempocnn_deepsquare	4468729.LOFI	glitch-hop	160.0	160.0	1	1	0.96
tempocnn_deepsquare	4703149.LOFI	glitch-hop	110.0	110.0	1	1	0.89
tempocnn_deepsquare	1839656.LOFI	dubstep	140.0	140.0	1	1	0.9
tempocnn_deepsquare	4936740.LOFI	dubstep	142.0	140.0	1	1	0.88
tempocnn_deepsquare	3577628.LOFI	dubstep	139.0	140.0	1	1	0.85
tempocnn_deepsquare	4163587.LOFI	dubstep	127.0	94.0	0	0	0.9
tempocnn_deepsquare	3875632.LOFI	dubstep	139.0	140.0	1	1	0.86
tempocnn_deepsquare	4020698.LOFI	dubstep	141.0	140.0	1	1	0.89
tempocnn_deepsquare	210560.LOFI	chill-out	78.0	158.0	0	1	0.9
tempocnn_deepsquare	4091609.LOFI	chill-out	80.0	160.0	0	1	0.93
tempocnn_deepsquare	1885798.LOFI	chill-out	101.0	101.0	1	1	0.89
tempocnn_deepsquare	3658743.LOFI	chill-out	144.0	144.0	1	1	0.92
tempocnn_deepsquare	172384.LOFI	chill-out	84.0	84.0	1	1	0.91
tempocnn_deepsquare	426992.LOFI	breaks	167.0	167.0	1	1	0.89
tempocnn_deepsquare	4694833.LOFI	breaks	144.0	143.0	1	1	0.89
tempocnn_deepsquare	4800274.LOFI	breaks	141.0	139.0	1	1	0.98
tempocnn_deepsquare	4773948.LOFI	breaks	139.0	140.0	1	1	0.9
tempocnn_deepsquare	3467867.LOFI	drum-and-bass	170.0	172.0	1	1	0.91
tempocnn_deepsquare	672063.LOFI	drum-and-bass	174.0	175.0	1	1	0.92
tempocnn_deepsquare	3907042.LOFI	drum-and-bass	170.0	170.0	1	1	0.88
tempocnn_deepsquare	2725286.LOFI	drum-and-bass	174.0	175.0	1	1	0.84
tempocnn_deepsquare	4331667.LOFI	drum-and-bass	174.0	174.0	1	1	0.85
tempocnn_deepsquare	5261461.LOFI	house	174.0	87.0	0	1	0.87
tempocnn_deepsquare	2013128.LOFI	house	127.0	126.0	1	1	0.84
tempocnn_deepsquare	5135326.LOFI	house	130.0	130.0	1	1	0.83
tempocnn_deepsquare	1791554.LOFI	techno	125.0	126.0	1	1	0.85
tempocnn_deepsquare	2677224.LOFI	techno	127.0	126.0	1	1	0.89
tempocnn_deepsquare	2726353.LOFI	techno	117.0	118.0	1	1	0.88
tempocnn_deeptemp	3863498.LOFI	hip-hop	150.0	148.0	1	1	0.86
tempocnn_deeptemp	4633603.LOFI	hip-hop	139.0	140.0	1	1	0.8
tempocnn_deeptemp	3958395.LOFI	funk-r-and-b	136.0	135.0	1	1	0.8
tempocnn_deeptemp	3733281.LOFI	reggae-dub	70.0	70.0	1	1	0.82
tempocnn_deeptemp	1874244.LOFI	reggae-dub	71.0	70.0	1	1	0.81
tempocnn_deeptemp	3892740.LOFI	pop-rock	129.0	128.0	1	1	0.82
tempocnn_deeptemp	1743969.LOFI	pop-rock	79.0	157.0	0	1	0.81
tempocnn_deeptemp	3151015.LOFI	pop-rock	174.0	87.0	0	1	0.8
tempocnn_deeptemp	4093555.LOFI	glitch-hop	92.0	92.0	1	1	0.79
tempocnn_deeptemp	3983645.LOFI	glitch-hop	110.0	110.0	1	1	0.83
tempocnn_deeptemp	5070846.LOFI	glitch-hop	110.0	110.0	1	1	0.81
tempocnn_deeptemp	4714481.LOFI	glitch-hop	112.0	112.0	1	1	0.8
tempocnn_deeptemp	4468729.LOFI	glitch-hop	160.0	160.0	1	1	0.79
tempocnn_deeptemp	4703149.LOFI	glitch-hop	110.0	110.0	1	1	0.78
tempocnn_deeptemp	1839656.LOFI	dubstep	140.0	140.0	1	1	0.8
tempocnn_deeptemp	4936740.LOFI	dubstep	142.0	140.0	1	1	0.8
tempocnn_deeptemp	3577628.LOFI	dubstep	139.0	140.0	1	1	0.8
tempocnn_deeptemp	4163587.LOFI	dubstep	127.0	126.0	1	1	0.81
tempocnn_deeptemp	3875632.LOFI	dubstep	139.0	140.0	1	1	0.8
tempocnn_deeptemp	4020698.LOFI	dubstep	141.0	140.0	1	1	0.8
tempocnn_deeptemp	210560.LOFI	chill-out	78.0	158.0	0	1	0.8
tempocnn_deeptemp	4091609.LOFI	chill-out	80.0	160.0	0	1	0.81
tempocnn_deeptemp	1885798.LOFI	chill-out	101.0	101.0	1	1	0.82
tempocnn_deeptemp	3658743.LOFI	chill-out	144.0	144.0	1	1	0.8
tempocnn_deeptemp	172384.LOFI	chill-out	84.0	168.0	0	1	0.83
tempocnn_deeptemp	426992.LOFI	breaks	167.0	166.0	1	1	0.81
tempocnn_deeptemp	4694833.LOFI	breaks	144.0	143.0	1	1	0.8
tempocnn_deeptemp	4800274.LOFI	breaks	141.0	140.0	1	1	0.8
tempocnn_deeptemp	4773948.LOFI	breaks	139.0	140.0	1	1	0.8
tempocnn_deeptemp	3467867.LOFI	drum-and-bass	170.0	173.0	1	1	0.8
tempocnn_deeptemp	672063.LOFI	drum-and-bass	174.0	175.0	1	1	0.8
tempocnn_deeptemp	3907042.LOFI	drum-and-bass	170.0	169.0	1	1	0.81
tempocnn_deeptemp	2725286.LOFI	drum-and-bass	174.0	175.0	1	1	0.8
tempocnn_deeptemp	4331667.LOFI	drum-and-bass	174.0	174.0	1	1	0.81
tempocnn_deeptemp	5261461.LOFI	house	174.0	175.0	1	1	0.81
tempocnn_deeptemp	2013128.LOFI	house	127.0	126.0	1	1	0.8
